x,y,psi,v_ref,s
3.147808,1.314460,0.583168,1.500000,5.853606
3.170880,1.329305,0.560284,1.500000,5.881042
3.194206,1.343568,0.537241,1.500000,5.908383
3.217776,1.357241,0.514042,1.500000,5.935631
3.241579,1.370318,0.490690,1.500000,5.962790
3.265606,1.382795,0.467188,1.500000,5.989863
3.289844,1.394665,0.443541,1.500000,6.016852
3.314285,1.405923,0.419753,1.500000,6.043761
3.338917,1.416565,0.395828,1.500000,6.070593
3.363729,1.426585,0.371772,1.500000,6.097352
3.388710,1.435979,0.347591,1.500000,6.124042
3.413850,1.444744,0.323291,1.500000,6.150666
3.439138,1.452875,0.298878,1.500000,6.177228
3.464561,1.460368,0.274360,1.500000,6.203733
3.490110,1.467221,0.249743,1.500000,6.230186
3.515773,1.473431,0.225035,1.500000,6.256589
3.541539,1.478994,0.200245,1.500000,6.282949
3.567396,1.483908,0.175380,1.500000,6.309269
3.593333,1.488172,0.150450,1.500000,6.335554
3.619339,1.491783,0.125463,1.500000,6.361809
3.645403,1.494739,0.100428,1.500000,6.388040
3.671512,1.497040,0.075355,1.500000,6.414250
3.697655,1.498684,0.050253,1.500000,6.440445
3.723822,1.499671,0.025131,1.500000,6.466630
3.750000,1.500000,-0.000000,1.500000,6.492811
3.776178,1.499671,-0.025131,1.500000,6.518991
3.802345,1.498684,-0.050253,1.500000,6.545176
3.828488,1.497040,-0.075355,1.500000,6.571371
3.854597,1.494739,-0.100428,1.500000,6.597581
3.880661,1.491783,-0.125463,1.500000,6.623812
3.906667,1.488172,-0.150450,1.500000,6.650067
3.932604,1.483908,-0.175380,1.500000,6.676353
3.958461,1.478994,-0.200245,1.500000,6.702673
3.984227,1.473431,-0.225035,1.500000,6.729032
4.009890,1.467221,-0.249743,1.500000,6.755436
4.035439,1.460368,-0.274360,1.500000,6.781888
4.060862,1.452875,-0.298878,1.500000,6.808393
4.086150,1.444744,-0.323291,1.500000,6.834955
4.111290,1.435979,-0.347591,1.500000,6.861579
4.136271,1.426585,-0.371772,1.500000,6.888269
4.161083,1.416565,-0.395828,1.500000,6.915028
4.185715,1.405923,-0.419753,1.500000,6.941860
4.210156,1.394665,-0.443541,1.500000,6.968769
4.234394,1.382795,-0.467188,1.500000,6.995758
4.258421,1.370318,-0.490690,1.500000,7.022831
4.282224,1.357241,-0.514042,1.500000,7.049990
4.305794,1.343568,-0.537241,1.500000,7.077239
4.329120,1.329305,-0.560284,1.500000,7.104579
4.352192,1.314460,-0.583168,1.500000,7.132015
4.375000,1.299038,-0.605891,1.500000,7.159547
4.397534,1.283046,-0.628452,1.500000,7.187179
4.419783,1.266492,-0.650848,1.500000,7.214912
4.441739,1.249382,-0.673079,1.500000,7.242747
4.463392,1.231724,-0.695144,1.500000,7.270687
4.484732,1.213525,-0.717044,1.500000,7.298733
4.505749,1.194795,-0.738777,1.500000,7.326885
4.526435,1.175540,-0.760345,1.500000,7.355145
4.546780,1.155770,-0.781748,1.500000,7.383514
4.566776,1.135493,-0.802987,1.500000,7.411992
4.586413,1.114717,-0.824065,1.500000,7.440580
4.605684,1.093453,-0.844981,1.500000,7.469277
4.624579,1.071709,-0.865738,1.500000,7.498084
4.643091,1.049495,-0.886339,1.500000,7.527000
4.661211,1.026821,-0.906785,1.500000,7.556025
4.678931,1.003696,-0.927080,1.500000,7.585159
4.696244,0.980131,-0.947225,1.500000,7.614400
4.713142,0.956136,-0.967224,1.500000,7.643748
4.729617,0.931722,-0.987081,1.500000,7.673201
4.745662,0.906899,-1.006797,1.500000,7.702758
4.761271,0.881678,-1.026378,1.500000,7.732418
4.776437,0.856070,-1.045825,1.500000,7.762180
4.791152,0.830087,-1.065143,1.500000,7.792040
4.805410,0.803740,-1.084336,1.500000,7.821998
4.819205,0.777041,-1.103408,1.500000,7.852051
4.832532,0.750000,-1.122362,1.500000,7.882197
4.845383,0.722631,-1.141203,1.500000,7.912434
4.857754,0.694944,-1.159935,1.500000,7.942758
4.869640,0.666953,-1.178561,1.500000,7.973168
4.881034,0.638669,-1.197087,1.500000,8.003661
4.891932,0.610105,-1.215516,1.500000,8.034233
4.902329,0.581273,-1.233853,1.500000,8.064882
4.912221,0.552187,-1.252103,1.500000,8.095605
4.921602,0.522858,-1.270269,1.500000,8.126398
4.930470,0.493300,-1.288357,1.500000,8.157257
4.938821,0.463525,-1.306370,1.500000,8.188180
4.946649,0.433548,-1.324314,1.500000,8.219164
4.953953,0.403380,-1.342193,1.500000,8.250203
4.960729,0.373035,-1.360011,1.500000,8.281295
4.966974,0.342526,-1.377773,1.500000,8.312436
4.972685,0.311868,-1.395484,1.500000,8.343623
4.977859,0.281072,-1.413149,1.500000,8.374850
4.982495,0.250153,-1.430771,1.500000,8.406114
4.986590,0.219125,-1.448356,1.500000,8.437412
4.990143,0.188000,-1.465908,1.500000,8.468739
4.993152,0.156793,-1.483432,1.500000,8.500091
4.995616,0.125517,-1.500933,1.500000,8.531464
4.997533,0.094186,-1.518415,1.500000,8.562853
4.998904,0.062813,-1.535884,1.500000,8.594255
4.999726,0.031414,-1.553342,1.500000,8.625666
5.000000,0.000000,-1.570796,1.500000,8.657081
4.999726,-0.031414,-1.588250,1.500000,8.688496
4.998904,-0.062813,-1.605709,1.500000,8.719906
4.997533,-0.094186,-1.623177,1.500000,8.751308
4.995616,-0.125517,-1.640659,1.500000,8.782698
4.993152,-0.156793,-1.658160,1.500000,8.814071
4.990143,-0.188000,-1.675684,1.500000,8.845423
4.986590,-0.219125,-1.693237,1.500000,8.876750
4.982495,-0.250153,-1.710822,1.500000,8.908047
4.977859,-0.281072,-1.728444,1.500000,8.939312
4.972685,-0.311868,-1.746108,1.500000,8.970539
4.966974,-0.342526,-1.763819,1.500000,9.001725
4.960729,-0.373035,-1.781582,1.500000,9.032866
4.953953,-0.403380,-1.799400,1.500000,9.063958
4.946649,-0.433548,-1.817279,1.500000,9.094998
4.938821,-0.463525,-1.835222,1.500000,9.125981
4.930470,-0.493300,-1.853236,1.500000,9.156904
4.921602,-0.522858,-1.871323,1.500000,9.187764
4.912221,-0.552187,-1.889490,1.500000,9.218557
4.902329,-0.581273,-1.907739,1.500000,9.249279
4.891932,-0.610105,-1.926077,1.500000,9.279928
4.881034,-0.638669,-1.944506,1.500000,9.310501
4.869640,-0.666953,-1.963032,1.500000,9.340993
4.857754,-0.694944,-1.981658,1.500000,9.371403
4.845383,-0.722631,-2.000390,1.500000,9.401728
4.832532,-0.750000,-2.019230,1.500000,9.431965
4.819205,-0.777041,-2.038185,1.500000,9.462111
4.805410,-0.803740,-2.057256,1.500000,9.492164
4.791152,-0.830087,-2.076449,1.500000,9.522121
4.776437,-0.856070,-2.095768,1.500000,9.551982
4.761271,-0.881678,-2.115215,1.500000,9.581743
4.745662,-0.906899,-2.134795,1.500000,9.611403
4.729617,-0.931722,-2.154512,1.500000,9.640961
4.713142,-0.956136,-2.174368,1.500000,9.670414
4.696244,-0.980131,-2.194367,1.500000,9.699762
4.678931,-1.003696,-2.214513,1.500000,9.729003
4.661211,-1.026821,-2.234807,1.500000,9.758136
4.643091,-1.049495,-2.255254,1.500000,9.787161
4.624579,-1.071709,-2.275854,1.500000,9.816078
4.605684,-1.093453,-2.296612,1.500000,9.844884
4.586413,-1.114717,-2.317528,1.500000,9.873582
4.566776,-1.135493,-2.338605,1.500000,9.902169
4.546780,-1.155770,-2.359845,1.500000,9.930647
4.526435,-1.175540,-2.381248,1.500000,9.959016
4.505749,-1.194795,-2.402816,1.500000,9.987276
4.484732,-1.213525,-2.424549,1.500000,10.015429
4.463392,-1.231724,-2.446448,1.500000,10.043475
4.441739,-1.249382,-2.468514,1.500000,10.071414
4.419783,-1.266492,-2.490745,1.500000,10.099250
4.397534,-1.283046,-2.513141,1.500000,10.126983
4.375000,-1.299038,-2.535702,1.500000,10.154614
4.352192,-1.314460,-2.558425,1.500000,10.182147
4.329120,-1.329305,-2.581309,1.500000,10.209582
4.305794,-1.343568,-2.604352,1.500000,10.236923
4.282224,-1.357241,-2.627551,1.500000,10.264172
4.258421,-1.370318,-2.650903,1.500000,10.291331
4.234394,-1.382795,-2.674404,1.500000,10.318403
4.210156,-1.394665,-2.698052,1.500000,10.345393
4.185715,-1.405923,-2.721840,1.500000,10.372302
4.161083,-1.416565,-2.745765,1.500000,10.399134
4.136271,-1.426585,-2.769820,1.500000,10.425893
4.111290,-1.435979,-2.794001,1.500000,10.452582
4.086150,-1.444744,-2.818301,1.500000,10.479206
4.060862,-1.452875,-2.842714,1.500000,10.505769
4.035439,-1.460368,-2.867233,1.500000,10.532274
4.009890,-1.467221,-2.891850,1.500000,10.558726
3.984227,-1.473431,-2.916558,1.500000,10.585129
